cycle	penal	iter	obj
1	3	1	430.645
1	3	2	272.939
1	3	3	196.485
1	3	4	160.487
1	3	5	147.302
1	3	6	137.01
1	3	7	128.558
1	3	8	120.865
1	3	9	115.543
1	3	10	111.579
1	3	11	108.102
1	3	12	104.87
1	3	13	101.886
1	3	14	99.1292
1	3	15	96.5483
1	3	16	94.2127
1	3	17	91.5645
1	3	18	89.1981
1	3	19	87.5928
1	3	20	86.5816
2	3	21	81.6588
2	3	22	80.1951
2	3	23	78.9669
2	3	24	78.1153
2	3	25	77.5342
2	3	26	77.0572
2	3	27	76.7882
2	3	28	76.6134
2	3	29	76.4452
2	3	30	76.3278
2	3	31	76.2317
2	3	32	76.1155
2	3	33	76.017
2	3	34	75.9164
2	3	35	75.7936
2	3	36	75.652
2	3	37	75.5268
2	3	38	75.4252
2	3	39	75.3312
2	3	40	75.2356
