cycle	penal	iter	obj
1	3	1	430.645
1	3	2	273.234
1	3	3	197.301
1	3	4	161.58
1	3	5	148.766
1	3	6	138.74
1	3	7	130.507
1	3	8	123.123
1	3	9	117.947
1	3	10	114.087
1	3	11	110.682
1	3	12	107.642
1	3	13	104.795
1	3	14	102.107
1	3	15	99.6286
1	3	16	97.2888
1	3	17	94.8179
1	3	18	92.3548
1	3	19	90.5651
1	3	20	89.4068
1	3	21	88.5996
1	3	22	88.0664
1	3	23	87.6438
1	3	24	87.3516
1	3	25	87.1086
2	3	26	82.3825
2	3	27	81.1718
2	3	28	80.3801
2	3	29	79.8917
2	3	30	79.5826
2	3	31	79.5014
2	3	32	79.5244
2	3	33	79.6242
2	3	34	79.5958
2	3	35	79.5116
2	3	36	79.436
2	3	37	79.3009
2	3	38	79.1675
2	3	39	79.0267
2	3	40	78.9516
2	3	41	78.8611
2	3	42	78.8104
2	3	43	78.795
2	3	44	78.8596
2	3	45	78.8773
2	3	46	78.9306
2	3	47	78.95
2	3	48	79.0711
2	3	49	79.1539
2	3	50	79.2601
3	3	51	75.891
3	3	52	74.8592
3	3	53	74.0899
3	3	54	73.4845
3	3	55	73.0902
3	3	56	72.8226
3	3	57	72.6761
3	3	58	72.6126
3	3	59	72.6031
3	3	60	72.5799
3	3	61	72.5509
3	3	62	72.518
3	3	63	72.4854
3	3	64	72.5022
3	3	65	72.4446
3	3	66	72.4436
4	3	67	70.5095
4	3	68	70.3686
4	3	69	70.2361
4	3	70	70.1133
4	3	71	70.002
4	3	72	69.909
4	3	73	69.8312
4	3	74	69.7605
4	3	75	69.6916
4	3	76	69.7833
4	3	77	69.6515
4	3	78	69.7335
4	3	79	69.6163
4	3	80	69.6929
4	3	81	69.7157
4	3	82	69.5972
4	3	83	69.6531
4	3	84	69.6702
4	3	85	69.6849
4	3	86	69.57
4	3	87	69.6167
4	3	88	69.6353
4	3	89	69.6503
4	3	90	69.6611
4	3	91	69.6698
5	3	92	68.6488
