cycle	penal	iter	obj
1	3	1	430.645
1	3	2	273.234
1	3	3	197.301
1	3	4	161.58
1	3	5	148.766
1	3	6	138.74
1	3	7	130.507
1	3	8	123.123
1	3	9	117.947
1	3	10	114.087
1	3	11	110.682
1	3	12	107.642
1	3	13	104.795
1	3	14	102.107
1	3	15	99.6286
1	3	16	97.2888
1	3	17	94.8179
1	3	18	92.3548
1	3	19	90.5651
1	3	20	89.4068
1	3	21	88.5996
1	3	22	88.0664
1	3	23	87.6438
1	3	24	87.3516
1	3	25	87.1086
1	3	26	86.9224
1	3	27	86.7958
1	3	28	86.6895
1	3	29	86.6052
1	3	30	86.5197
1	3	31	86.4554
1	3	32	86.4133
1	3	33	86.3606
1	3	34	86.3069
1	3	35	86.2725
1	3	36	86.2506
1	3	37	86.2161
1	3	38	86.1968
1	3	39	86.1839
1	3	40	86.1764
1	3	41	86.1526
1	3	42	86.1436
1	3	43	86.1195
1	3	44	86.111
1	3	45	86.1082
1	3	46	86.0891
1	3	47	86.0849
1	3	48	86.0886
1	3	49	86.0749
1	3	50	86.0765
2	3	51	81.119
2	3	52	80.0598
2	3	53	79.201
2	3	54	78.5681
2	3	55	78.1429
2	3	56	77.7729
2	3	57	77.5115
2	3	58	77.2543
2	3	59	77.0799
2	3	60	76.8475
2	3	61	76.7193
2	3	62	76.5986
2	3	63	76.5235
2	3	64	76.4824
2	3	65	76.4616
2	3	66	76.4481
2	3	67	76.4816
2	3	68	76.508
2	3	69	76.5303
2	3	70	76.5527
2	3	71	76.5507
2	3	72	76.5613
2	3	73	76.5726
2	3	74	76.5855
2	3	75	76.631
2	3	76	76.6652
2	3	77	76.6949
2	3	78	76.7526
2	3	79	76.7668
2	3	80	76.7883
2	3	81	76.7804
2	3	82	76.7827
2	3	83	76.7885
2	3	84	76.7949
2	3	85	76.8017
2	3	86	76.8093
2	3	87	76.8163
2	3	88	76.7957
2	3	89	76.8092
2	3	90	76.8188
2	3	91	76.8269
2	3	92	76.8114
2	3	93	76.831
2	3	94	76.8223
2	3	95	76.8206
2	3	96	76.8217
2	3	97	76.824
2	3	98	76.8269
2	3	99	76.8298
2	3	100	76.8324
3	3	101	73.9552
3	3	102	73.4402
3	3	103	73.0874
3	3	104	72.827
3	3	105	72.6324
3	3	106	72.5567
3	3	107	72.4888
3	3	108	72.4106
3	3	109	72.3847
3	3	110	72.3471
3	3	111	72.2973
3	3	112	72.2873
3	3	113	72.2581
3	3	114	72.2216
3	3	115	72.2387
3	3	116	72.2399
3	3	117	72.2343
3	3	118	72.2213
3	3	119	72.2011
3	3	120	72.2368
3	3	121	72.2
3	3	122	72.2214
3	3	123	72.1739
3	3	124	72.1832
3	3	125	72.1826
4	3	126	70.1586
4	3	127	69.8988
4	3	128	69.8254
4	3	129	69.756
4	3	130	69.5393
4	3	131	69.4918
4	3	132	69.4409
4	3	133	69.5087
4	3	134	69.4192
4	3	135	69.4734
4	3	136	69.3923
4	3	137	69.4381
4	3	138	69.3559
4	3	139	69.3983
4	3	140	69.42
4	3	141	69.3357
4	3	142	69.3733
4	3	143	69.3907
4	3	144	69.4033
4	3	145	69.4109
4	3	146	69.3114
4	3	147	69.3359
4	3	148	69.3461
4	3	149	69.3539
4	3	150	69.3597
4	3	151	69.3645
4	3	152	69.3681
4	3	153	69.3731
4	3	154	69.2853
4	3	155	69.3097
4	3	156	69.3241
4	3	157	69.3356
4	3	158	69.345
