cycle	penal	iter	obj
1	3	1	430.645
1	3	2	273.234
1	3	3	197.301
1	3	4	161.58
1	3	5	148.766
1	3	6	138.74
1	3	7	130.507
1	3	8	123.123
1	3	9	117.947
1	3	10	114.087
1	3	11	110.682
1	3	12	107.642
1	3	13	104.795
1	3	14	102.107
1	3	15	99.6286
1	3	16	97.2888
1	3	17	94.8179
1	3	18	92.3548
1	3	19	90.5651
1	3	20	89.4068
1	3	21	88.5996
1	3	22	88.0664
1	3	23	87.6438
1	3	24	87.3516
1	3	25	87.1086
1	3	26	86.9224
1	3	27	86.7958
1	3	28	86.6895
1	3	29	86.6052
1	3	30	86.5197
1	3	31	86.4554
1	3	32	86.4133
1	3	33	86.3606
1	3	34	86.3069
1	3	35	86.2725
1	3	36	86.2506
1	3	37	86.2161
1	3	38	86.1968
1	3	39	86.1839
1	3	40	86.1764
2	3	41	81.9049
2	3	42	80.5935
2	3	43	79.4821
2	3	44	78.6471
2	3	45	78.1633
2	3	46	77.9184
2	3	47	77.9017
2	3	48	77.942
2	3	49	78.0372
2	3	50	78.118
2	3	51	78.0361
2	3	52	77.9493
2	3	53	77.7497
2	3	54	77.6571
2	3	55	77.6049
2	3	56	77.6458
2	3	57	77.6944
2	3	58	77.7701
2	3	59	77.7526
2	3	60	77.7098
2	3	61	77.689
2	3	62	77.7339
2	3	63	77.8582
2	3	64	78.0084
2	3	65	78.1573
2	3	66	78.2772
2	3	67	78.3208
2	3	68	78.3509
2	3	69	78.3614
2	3	70	78.3834
2	3	71	78.3794
2	3	72	78.3873
2	3	73	78.3992
2	3	74	78.4136
2	3	75	78.4021
2	3	76	78.4038
2	3	77	78.4091
2	3	78	78.3919
2	3	79	78.384
2	3	80	78.3806
3	3	81	74.7442
3	3	82	74.0291
3	3	83	73.4207
3	3	84	72.9568
3	3	85	72.4727
3	3	86	72.1512
3	3	87	71.9795
3	3	88	71.8676
3	3	89	71.7537
3	3	90	71.7107
3	3	91	71.6346
3	3	92	71.599
3	3	93	71.5934
3	3	94	71.5799
3	3	95	71.5529
3	3	96	71.5613
3	3	97	71.5592
3	3	98	71.5441
3	3	99	71.5679
3	3	100	71.5765
3	3	101	71.579
3	3	102	71.5783
4	3	103	69.8926
4	3	104	69.6498
4	3	105	69.4621
4	3	106	69.437
4	3	107	69.2323
4	3	108	69.2065
4	3	109	69.1745
4	3	110	69.1378
4	3	111	69.096
4	3	112	69.1872
4	3	113	69.0778
4	3	114	69.0173
4	3	115	69.092
4	3	116	68.9921
4	3	117	69.0602
4	3	118	69.082
4	3	119	68.9852
4	3	120	69.0389
4	3	121	69.0572
4	3	122	68.9629
4	3	123	69.0111
4	3	124	69.028
4	3	125	68.9382
4	3	126	68.9857
4	3	127	69.0063
4	3	128	68.9204
4	3	129	68.9668
4	3	130	68.9876
4	3	131	69.0095
4	3	132	68.9219
4	3	133	68.966
4	3	134	68.9886
4	3	135	69.0112
4	3	136	68.9261
4	3	137	68.9687
4	3	138	68.9911
4	3	139	69.0128
4	3	140	68.9277
4	3	141	68.9687
4	3	142	68.9907
5	3	143	68.1394
