cycle	penal	iter	obj
1	3	1	430.645
1	3	2	273.234
1	3	3	197.301
1	3	4	161.58
1	3	5	148.766
1	3	6	138.74
1	3	7	130.507
1	3	8	123.123
1	3	9	117.947
1	3	10	114.087
1	3	11	110.682
1	3	12	107.642
1	3	13	104.795
1	3	14	102.107
1	3	15	99.6286
1	3	16	97.2888
1	3	17	94.8179
1	3	18	92.3548
1	3	19	90.5651
1	3	20	89.4068
1	3	21	88.5996
1	3	22	88.0664
1	3	23	87.6438
1	3	24	87.3516
1	3	25	87.1086
1	3	26	86.9224
1	3	27	86.7958
1	3	28	86.6895
1	3	29	86.6052
1	3	30	86.5197
1	3	31	86.4554
1	3	32	86.4133
1	3	33	86.3606
1	3	34	86.3069
1	3	35	86.2725
1	3	36	86.2506
1	3	37	86.2161
1	3	38	86.1968
1	3	39	86.1839
1	3	40	86.1764
1	3	41	86.1526
1	3	42	86.1436
1	3	43	86.1195
1	3	44	86.111
1	3	45	86.1082
1	3	46	86.0891
1	3	47	86.0849
1	3	48	86.0886
1	3	49	86.0749
1	3	50	86.0765
2	3	51	86.0603
2	3	52	86.0594
3	3	53	86.0403
3	3	54	86.0359
3	3	55	86.0354
4	3	56	86.0372
4	3	57	86.0405
4	3	58	86.027
4	3	59	86.0254
4	3	60	86.0042
4	3	61	86.0165
4	3	62	85.9976
4	3	63	85.9891
4	3	64	85.9804
4	3	65	85.9701
4	3	66	85.9571
4	3	67	85.9642
4	3	68	85.9563
4	3	69	85.9438
4	3	70	85.9252
4	3	71	85.9018
4	3	72	85.8967
4	3	73	85.872
4	3	74	85.861
4	3	75	85.8515
4	3	76	85.8174
4	3	77	85.7978
4	3	78	85.7833
4	3	79	85.7427
4	3	80	85.7376
4	3	81	85.7005
4	3	82	85.6794
4	3	83	85.6584
4	3	84	85.6338
4	3	85	85.6034
4	3	86	85.5659
4	3	87	85.5474
4	3	88	85.5228
4	3	89	85.504
4	3	90	85.4552
4	3	91	85.4488
4	3	92	85.415
4	3	93	85.3983
4	3	94	85.3596
4	3	95	85.347
4	3	96	85.3153
4	3	97	85.3082
4	3	98	85.2835
4	3	99	85.2578
4	3	100	85.2347
4	3	101	85.1934
4	3	102	85.1768
4	3	103	85.1831
4	3	104	85.144
4	3	105	85.1485
5	3	106	85.1121
5	3	107	85.0977
5	3	108	85.0905
5	3	109	85.0881
5	3	110	85.0623
5	3	111	85.056
5	3	112	85.0564
