cycle	penal	iter	obj
1	3	1	430.645
1	3	2	273.234
1	3	3	197.301
1	3	4	161.58
1	3	5	148.766
1	3	6	138.74
1	3	7	130.507
1	3	8	123.123
1	3	9	117.947
1	3	10	114.087
1	3	11	110.682
1	3	12	107.642
1	3	13	104.795
1	3	14	102.107
1	3	15	99.6286
1	3	16	97.2888
1	3	17	94.8179
1	3	18	92.3548
1	3	19	90.5651
1	3	20	89.4068
1	3	21	88.5996
1	3	22	88.0664
1	3	23	87.6438
1	3	24	87.3516
1	3	25	87.1086
1	3	26	86.9224
1	3	27	86.7958
1	3	28	86.6895
1	3	29	86.6052
1	3	30	86.5197
1	3	31	86.4554
1	3	32	86.4133
1	3	33	86.3606
1	3	34	86.3069
1	3	35	86.2725
1	3	36	86.2506
1	3	37	86.2161
1	3	38	86.1968
1	3	39	86.1839
1	3	40	86.1764
1	3	41	86.1526
1	3	42	86.1436
1	3	43	86.1195
1	3	44	86.111
1	3	45	86.1082
1	3	46	86.0891
1	3	47	86.0849
1	3	48	86.0886
1	3	49	86.0749
1	3	50	86.0765
2	3	51	81.5687
2	3	52	80.1576
2	3	53	78.9936
2	3	54	78.116
2	3	55	77.5707
2	3	56	77.3556
2	3	57	77.1357
2	3	58	76.9807
2	3	59	76.7887
2	3	60	76.6725
2	3	61	76.6356
2	3	62	76.6773
2	3	63	76.7765
2	3	64	76.8109
2	3	65	76.8303
2	3	66	76.7997
2	3	67	76.7942
2	3	68	76.8007
2	3	69	76.7843
2	3	70	76.7763
2	3	71	76.7732
2	3	72	76.7731
3	3	73	73.5554
3	3	74	72.8919
3	3	75	72.4591
3	3	76	72.0665
3	3	77	71.8561
3	3	78	71.6837
3	3	79	71.6036
3	3	80	71.5671
3	3	81	71.5133
3	3	82	71.5097
3	3	83	71.5023
3	3	84	71.4937
3	3	85	71.4782
3	3	86	71.4495
3	3	87	71.4181
3	3	88	71.3881
3	3	89	71.4069
3	3	90	71.384
3	3	91	71.3654
3	3	92	71.3919
3	3	93	71.3648
3	3	94	71.3853
3	3	95	71.3968
3	3	96	71.3576
3	3	97	71.3661
3	3	98	71.3674
3	3	99	71.3639
3	3	100	71.3571
3	3	101	71.3479
3	3	102	71.3863
3	3	103	71.3612
3	3	104	71.3436
3	3	105	71.3752
3	3	106	71.3493
3	3	107	71.333
3	3	108	71.3648
3	3	109	71.342
3	3	110	71.3719
3	3	111	71.3482
3	3	112	71.3764
3	3	113	71.3975
3	3	114	71.4145
3	3	115	71.383
3	3	116	71.4055
3	3	117	71.3784
3	3	118	71.403
3	3	119	71.4222
3	3	120	71.3922
3	3	121	71.4153
3	3	122	71.3884
4	3	123	69.7614
4	3	124	69.5641
4	3	125	69.4139
4	3	126	69.2876
4	3	127	69.1767
4	3	128	69.224
4	3	129	69.1176
4	3	130	69.155
4	3	131	69.1669
4	3	132	69.159
4	3	133	69.1368
4	3	134	69.1069
4	3	135	69.0681
4	3	136	69.0271
4	3	137	68.9844
4	3	138	69.0684
4	3	139	68.961
4	3	140	69.037
4	3	141	68.9326
4	3	142	69.0065
4	3	143	69.0288
4	3	144	68.9308
4	3	145	68.9941
4	3	146	69.0176
4	3	147	68.9232
4	3	148	68.9786
4	3	149	69.002
4	3	150	68.9075
4	3	151	68.9581
4	3	152	68.982
4	3	153	69.0049
4	3	154	68.907
4	3	155	68.9501
4	3	156	68.974
4	3	157	68.9947
4	3	158	68.8996
4	3	159	68.9401
4	3	160	68.9647
4	3	161	68.9855
4	3	162	68.8953
4	3	163	68.9358
4	3	164	68.9613
4	3	165	68.9827
4	3	166	68.8965
4	3	167	68.9361
4	3	168	68.9616
4	3	169	68.9828
4	3	170	68.8992
4	3	171	68.9379
4	3	172	68.962
5	3	173	68.0867
5	3	174	68.0504
5	3	175	68.0324
5	3	176	68.0163
5	3	177	68.0018
5	3	178	67.9863
5	3	179	67.9685
5	3	180	67.9499
5	3	181	67.9321
5	3	182	67.9136
5	3	183	67.8943
5	3	184	67.8747
5	3	185	67.8562
5	3	186	67.8375
5	3	187	67.8198
5	3	188	67.8011
5	3	189	67.7815
5	3	190	67.7624
5	3	191	67.7448
5	3	192	67.7286
5	3	193	67.7124
5	3	194	67.6965
5	3	195	67.6804
5	3	196	67.6643
5	3	197	67.6478
5	3	198	67.6311
5	3	199	67.6145
5	3	200	67.5986
5	3	201	68.1124
5	3	202	67.6465
5	3	203	67.6112
5	3	204	68.1217
5	3	205	67.6562
5	3	206	68.1648
5	3	207	67.6998
5	3	208	68.2064
5	3	209	67.7429
5	3	210	67.6946
5	3	211	68.1971
5	3	212	67.7358
5	3	213	68.2365
5	3	214	67.7757
5	3	215	67.7295
5	3	216	68.2276
5	3	217	67.7685
5	3	218	67.7306
5	3	219	68.2272
5	3	220	67.7685
5	3	221	67.7328
5	3	222	68.2285
