cycle	penal	iter	obj
1	3	1	430.645
1	3	2	273.234
1	3	3	197.301
1	3	4	161.58
1	3	5	148.766
1	3	6	138.74
1	3	7	130.507
1	3	8	123.123
1	3	9	117.947
1	3	10	114.087
1	3	11	110.682
1	3	12	107.642
1	3	13	104.795
1	3	14	102.107
1	3	15	99.6286
1	3	16	97.2888
1	3	17	94.8179
1	3	18	92.3548
1	3	19	90.5651
1	3	20	89.4068
1	3	21	88.5996
1	3	22	88.0664
1	3	23	87.6438
1	3	24	87.3516
1	3	25	87.1086
1	3	26	86.9224
1	3	27	86.7958
1	3	28	86.6895
1	3	29	86.6052
1	3	30	86.5197
1	3	31	86.4554
1	3	32	86.4133
1	3	33	86.3606
1	3	34	86.3069
1	3	35	86.2725
1	3	36	86.2506
1	3	37	86.2161
1	3	38	86.1968
1	3	39	86.1839
1	3	40	86.1764
1	3	41	86.1526
1	3	42	86.1436
1	3	43	86.1195
1	3	44	86.111
1	3	45	86.1082
1	3	46	86.0891
1	3	47	86.0849
1	3	48	86.0886
1	3	49	86.0749
1	3	50	86.0765
2	3	51	81.119
2	3	52	80.0598
2	3	53	79.201
2	3	54	78.5681
2	3	55	78.1429
2	3	56	77.7729
2	3	57	77.5115
2	3	58	77.2543
2	3	59	77.0799
2	3	60	76.8475
2	3	61	76.7193
2	3	62	76.5986
2	3	63	76.5235
2	3	64	76.4824
2	3	65	76.4616
2	3	66	76.4481
2	3	67	76.4816
2	3	68	76.508
2	3	69	76.5303
2	3	70	76.5527
2	3	71	76.5507
2	3	72	76.5613
2	3	73	76.5726
2	3	74	76.5855
2	3	75	76.631
2	3	76	76.6652
2	3	77	76.6949
2	3	78	76.7526
2	3	79	76.7668
2	3	80	76.7883
2	3	81	76.7804
2	3	82	76.7827
2	3	83	76.7885
2	3	84	76.7949
2	3	85	76.8017
2	3	86	76.8093
2	3	87	76.8163
2	3	88	76.7957
2	3	89	76.8092
2	3	90	76.8188
2	3	91	76.8269
2	3	92	76.8114
2	3	93	76.831
2	3	94	76.8223
2	3	95	76.8206
2	3	96	76.8217
2	3	97	76.824
2	3	98	76.8269
2	3	99	76.8298
2	3	100	76.8324
3	3	101	73.993
3	3	102	73.4826
3	3	103	73.1352
3	3	104	72.8809
3	3	105	72.6913
3	3	106	72.618
3	3	107	72.5484
3	3	108	72.4701
3	3	109	72.4442
3	3	110	72.4054
3	3	111	72.3555
3	3	112	72.3456
3	3	113	72.3159
3	3	114	72.282
3	3	115	72.3016
3	3	116	72.2544
3	3	117	72.265
3	3	118	72.2626
3	3	119	72.2504
3	3	120	72.2928
3	3	121	72.2595
3	3	122	72.283
3	3	123	72.2341
3	3	124	72.2432
3	3	125	72.2418
3	3	126	72.2376
3	3	127	72.2332
3	3	128	72.2267
3	3	129	72.2179
3	3	130	72.2102
3	3	131	72.2019
3	3	132	72.1937
3	3	133	72.1861
3	3	134	72.2312
3	3	135	72.2098
3	3	136	72.1944
3	3	137	72.1801
3	3	138	72.219
3	3	139	72.1973
3	3	140	72.1832
3	3	141	72.1715
3	3	142	72.2116
3	3	143	72.1901
3	3	144	72.176
3	3	145	72.1641
3	3	146	72.2029
3	3	147	72.1804
3	3	148	72.1658
3	3	149	72.1541
3	3	150	72.1919
4	3	151	70.1286
4	3	152	69.9066
4	3	153	69.7267
4	3	154	69.7332
4	3	155	69.5929
4	3	156	69.6131
4	3	157	69.4924
4	3	158	69.4966
4	3	159	69.4826
4	3	160	69.4603
4	3	161	69.435
4	3	162	69.4018
4	3	163	69.4662
4	3	164	69.3927
4	3	165	69.4378
4	3	166	69.3573
4	3	167	69.3934
4	3	168	69.3091
4	3	169	69.3422
4	3	170	69.3591
4	3	171	69.372
4	3	172	69.382
4	3	173	69.2924
4	3	174	69.3176
4	3	175	69.3318
4	3	176	69.3436
4	3	177	69.3528
4	3	178	69.3609
4	3	179	69.2768
4	3	180	69.3002
4	3	181	69.3151
4	3	182	69.3276
4	3	183	69.3385
4	3	184	69.3482
4	3	185	69.267
4	3	186	69.2891
4	3	187	69.3034
4	3	188	69.3145
4	3	189	69.3235
4	3	190	69.3309
4	3	191	69.3373
4	3	192	69.257
4	3	193	69.2777
4	3	194	69.2916
4	3	195	69.3024
4	3	196	69.3112
4	3	197	69.3183
4	3	198	69.3242
4	3	199	69.2466
4	3	200	69.2667
