cycle	penal	iter	obj
1	3	1	423.621
1	3	2	268.682
1	3	3	198.747
1	3	4	168.303
1	3	5	159.42
1	3	6	152.325
1	3	7	146.677
1	3	8	142.463
1	3	9	138.957
1	3	10	136.357
1	3	11	134.017
1	3	12	132.058
1	3	13	130.331
1	3	14	128.934
1	3	15	127.523
1	3	16	126.099
1	3	17	124.627
1	3	18	123.154
1	3	19	121.75
1	3	20	120.426
1	3	21	119.224
1	3	22	118.219
1	3	23	117.395
1	3	24	116.683
1	3	25	116.095
1	3	26	115.605
1	3	27	115.174
1	3	28	114.817
1	3	29	114.514
1	3	30	114.254
1	3	31	114.034
1	3	32	113.839
1	3	33	113.672
1	3	34	113.519
1	3	35	113.393
1	3	36	113.268
1	3	37	113.176
1	3	38	113.093
1	3	39	113.033
1	3	40	112.967
1	3	41	112.913
1	3	42	112.868
1	3	43	112.823
1	3	44	112.792
1	3	45	112.752
1	3	46	112.721
1	3	47	112.699
1	3	48	112.668
1	3	49	112.648
1	3	50	112.627
1	3	51	112.597
1	3	52	112.588
1	3	53	112.568
1	3	54	112.55
1	3	55	112.531
1	3	56	112.525
1	3	57	112.51
1	3	58	112.495
1	3	59	112.479
1	3	60	112.475
1	3	61	112.47
1	3	62	112.454
1	3	63	112.451
1	3	64	112.446
1	3	65	112.431
1	3	66	112.428
1	3	67	112.423
1	3	68	112.42
1	3	69	112.417
1	3	70	112.414
1	3	71	112.399
1	3	72	112.398
1	3	73	112.393
1	3	74	112.391
1	3	75	112.388
1	3	76	112.386
1	3	77	112.384
1	3	78	112.382
1	3	79	112.38
1	3	80	112.378
1	3	81	112.377
1	3	82	112.363
1	3	83	112.363
