cycle	penal	iter	obj
1	3	1	430.645
1	3	2	273.234
1	3	3	197.301
1	3	4	161.58
1	3	5	148.766
1	3	6	138.74
1	3	7	130.507
1	3	8	123.123
1	3	9	117.947
1	3	10	114.087
1	3	11	110.682
1	3	12	107.642
1	3	13	104.795
1	3	14	102.107
1	3	15	99.6286
1	3	16	97.2888
1	3	17	94.8179
1	3	18	92.3548
1	3	19	90.5651
1	3	20	89.4068
1	3	21	88.5996
1	3	22	88.0664
1	3	23	87.6438
1	3	24	87.3516
1	3	25	87.1086
1	3	26	86.9224
1	3	27	86.7958
1	3	28	86.6895
1	3	29	86.6052
1	3	30	86.5197
1	3	31	86.4554
1	3	32	86.4133
1	3	33	86.3606
1	3	34	86.3069
1	3	35	86.2725
1	3	36	86.2506
1	3	37	86.2161
1	3	38	86.1968
1	3	39	86.1839
1	3	40	86.1764
1	3	41	86.1526
1	3	42	86.1436
1	3	43	86.1195
1	3	44	86.111
1	3	45	86.1082
1	3	46	86.0891
1	3	47	86.0849
1	3	48	86.0886
1	3	49	86.0749
1	3	50	86.0765
2	3	51	82.0137
2	3	52	80.6123
2	3	53	79.5285
2	3	54	78.6201
2	3	55	78.0866
2	3	56	77.8356
2	3	57	77.7615
2	3	58	77.6793
2	3	59	77.6057
2	3	60	77.566
2	3	61	77.5224
2	3	62	77.5458
2	3	63	77.5104
2	3	64	77.5284
2	3	65	77.5305
2	3	66	77.5901
2	3	67	77.6742
2	3	68	77.7405
2	3	69	77.8009
2	3	70	77.8595
2	3	71	77.9106
2	3	72	77.8946
2	3	73	77.9032
2	3	74	77.914
2	3	75	77.9282
2	3	76	77.9754
2	3	77	78.0093
2	3	78	78.0426
2	3	79	78.0417
3	3	80	74.5181
3	3	81	73.7232
3	3	82	73.1511
3	3	83	72.7495
3	3	84	72.4565
3	3	85	72.2484
3	3	86	72.1164
3	3	87	72.0987
3	3	88	72.0651
3	3	89	72.0384
3	3	90	72.0096
3	3	91	72.0344
3	3	92	72.0362
3	3	93	72.0308
3	3	94	72.0135
3	3	95	71.9911
3	3	96	72.0185
3	3	97	72.0217
3	3	98	71.973
3	3	99	71.9933
3	3	100	71.9975
3	3	101	71.9491
3	3	102	71.9657
3	3	103	71.9657
4	3	104	70.1713
4	3	105	69.8706
4	3	106	69.653
4	3	107	69.6111
4	3	108	69.41
4	3	109	69.3785
4	3	110	69.3364
4	3	111	69.2894
4	3	112	69.3925
4	3	113	69.2725
4	3	114	69.2126
4	3	115	69.2954
4	3	116	69.3088
4	3	117	69.2047
4	3	118	69.2752
4	3	119	69.1641
4	3	120	69.2285
4	3	121	69.2353
4	3	122	69.1332
4	3	123	69.1889
4	3	124	69.196
4	3	125	69.2186
4	3	126	69.2301
4	3	127	69.1306
4	3	128	69.1731
4	3	129	69.1797
4	3	130	69.1957
4	3	131	69.2039
4	3	132	69.1099
4	3	133	69.1439
4	3	134	69.1511
4	3	135	69.1651
4	3	136	69.1745
4	3	137	69.1825
4	3	138	69.1892
4	3	139	69.1948
