cycle	penal	iter	obj
1	3	1	278.982
1	3	2	198.484
1	3	3	202.318
1	3	4	202.295
1	3	5	202.296
2	3	6	163.685
2	3	7	187.695
2	3	8	229.182
2	3	9	250.742
2	3	10	258.191
2	3	11	260.765
2	3	12	261.673
2	3	13	261.994
2	3	14	262.108
2	3	15	262.148
2	3	16	262.162
2	3	17	262.168
2	3	18	262.17
2	3	19	262.17
3	3	20	227.192
3	3	21	389.749
3	3	22	550.18
3	3	23	510.232
3	3	24	545.726
3	3	25	553.446
3	3	26	557.352
3	3	27	561.531
3	3	28	566.038
3	3	29	570.475
3	3	30	574.617
3	3	31	578.374
3	3	32	581.722
3	3	33	584.67
3	3	34	587.251
3	3	35	589.505
3	3	36	591.476
3	3	37	593.202
3	3	38	594.726
3	3	39	596.076
3	3	40	597.276
3	3	41	598.352
3	3	42	599.321
3	3	43	600.197
3	3	44	600.994
3	3	45	601.719
3	3	46	602.384
3	3	47	602.994
3	3	48	603.556
3	3	49	604.076
3	3	50	604.558
3	3	51	605.005
3	3	52	605.421
3	3	53	605.809
3	3	54	606.173
3	3	55	606.513
3	3	56	606.832
3	3	57	607.132
3	3	58	607.414
3	3	59	607.68
3	3	60	607.932
3	3	61	608.169
3	3	62	608.393
3	3	63	608.606
3	3	64	608.808
3	3	65	609
3	3	66	609.182
3	3	67	609.355
3	3	68	609.52
3	3	69	609.677
4	3	70	385.663
4	3	71	532.059
4	3	72	605.627
4	3	73	675.357
4	3	74	832.516
4	3	75	785.473
4	3	76	748.967
4	3	77	724.907
4	3	78	697.613
4	3	79	678.248
4	3	80	655.901
4	3	81	636.22
4	3	82	612.129
4	3	83	592.434
4	3	84	577.236
4	3	85	567.164
4	3	86	560.529
4	3	87	556.335
4	3	88	553.651
4	3	89	551.943
4	3	90	550.842
4	3	91	550.128
4	3	92	549.659
4	3	93	549.347
4	3	94	549.138
4	3	95	548.998
4	3	96	548.903
4	3	97	548.837
4	3	98	548.793
4	3	99	548.762
4	3	100	548.742
4	3	101	548.728
4	3	102	548.718
4	3	103	548.711
4	3	104	548.707
4	3	105	548.703
4	3	106	548.702
4	3	107	548.699
4	3	108	548.698
4	3	109	548.698
5	3	110	467.482
5	3	111	535.84
5	3	112	680.839
5	3	113	890.226
5	3	114	960.641
5	3	115	710.628
5	3	116	733.669
5	3	117	666.47
5	3	118	718.582
5	3	119	717.314
5	3	120	751.624
5	3	121	753.094
5	3	122	773.854
5	3	123	775.419
5	3	124	784.923
5	3	125	786.268
5	3	126	790.769
5	3	127	791.779
5	3	128	793.994
5	3	129	794.692
5	3	130	795.822
5	3	131	796.278
5	3	132	796.873
5	3	133	797.16
5	3	134	797.481
5	3	135	797.658
5	3	136	797.834
5	3	137	797.941
5	3	138	798.04
5	3	139	798.104
5	3	140	798.16
5	3	141	798.198
5	3	142	798.23
5	3	143	798.252
5	3	144	798.271
5	3	145	798.284
5	3	146	798.294
5	3	147	798.302
5	3	148	798.308
5	3	149	798.313
5	3	150	798.316
5	3	151	798.319
5	3	152	798.321
5	3	153	798.322
5	3	154	798.324
5	3	155	798.325
5	3	156	798.325
6	3	157	1007.15
6	3	158	552.915
6	3	159	539.819
6	3	160	568.338
6	3	161	603.195
6	3	162	653.223
6	3	163	679.663
6	3	164	687.949
6	3	165	679.655
6	3	166	672.008
6	3	167	666.205
6	3	168	662.594
6	3	169	660.266
6	3	170	659.313
6	3	171	659.415
6	3	172	659.433
6	3	173	659.543
6	3	174	659.727
6	3	175	659.966
6	3	176	660.231
6	3	177	660.505
6	3	178	660.767
6	3	179	661.01
6	3	180	661.229
6	3	181	661.417
6	3	182	661.577
6	3	183	661.709
6	3	184	661.809
6	3	185	661.886
6	3	186	661.94
6	3	187	661.972
6	3	188	661.989
6	3	189	661.99
6	3	190	661.979
6	3	191	661.956
6	3	192	661.925
6	3	193	661.887
6	3	194	661.843
6	3	195	661.796
6	3	196	661.746
6	3	197	661.695
6	3	198	661.639
6	3	199	661.586
6	3	200	661.531
6	3	201	661.476
6	3	202	661.421
6	3	203	661.368
6	3	204	661.315
6	3	205	661.263
6	3	206	661.215
7	3	207	379.647
7	3	208	451.724
7	3	209	541.788
7	3	210	634.192
7	3	211	691.462
7	3	212	771.857
7	3	213	848.305
7	3	214	866.349
7	3	215	875.516
7	3	216	881.724
7	3	217	884.372
7	3	218	884.797
7	3	219	883.769
7	3	220	884.352
7	3	221	884.01
7	3	222	882.262
