cycle	penal	iter	obj
1	3	1	430.645
1	3	2	273.234
1	3	3	197.301
1	3	4	161.58
1	3	5	148.766
1	3	6	138.74
1	3	7	130.507
1	3	8	123.123
1	3	9	117.947
1	3	10	114.087
1	3	11	110.682
1	3	12	107.642
1	3	13	104.795
1	3	14	102.107
1	3	15	99.6286
1	3	16	97.2888
1	3	17	94.8179
1	3	18	92.3548
1	3	19	90.5651
1	3	20	89.4068
1	3	21	88.5996
1	3	22	88.0664
1	3	23	87.6438
1	3	24	87.3516
1	3	25	87.1086
1	3	26	86.9224
1	3	27	86.7958
1	3	28	86.6895
1	3	29	86.6052
1	3	30	86.5197
1	3	31	86.4554
1	3	32	86.4133
1	3	33	86.3606
1	3	34	86.3069
1	3	35	86.2725
1	3	36	86.2506
1	3	37	86.2161
1	3	38	86.1968
1	3	39	86.1839
1	3	40	86.1764
1	3	41	86.1526
1	3	42	86.1436
1	3	43	86.1195
1	3	44	86.111
1	3	45	86.1082
1	3	46	86.0891
1	3	47	86.0849
1	3	48	86.0886
1	3	49	86.0749
1	3	50	86.0765
2	3	51	81.6473
2	3	52	80.214
2	3	53	79.0588
2	3	54	78.1752
2	3	55	77.6137
2	3	56	77.3181
2	3	57	77.1132
2	3	58	76.9166
2	3	59	76.8091
2	3	60	76.6503
2	3	61	76.6429
2	3	62	76.6933
2	3	63	76.7688
2	3	64	76.8272
2	3	65	76.8268
3	3	66	73.5182
3	3	67	72.8969
3	3	68	72.3535
3	3	69	72.0248
3	3	70	71.7068
3	3	71	71.5307
3	3	72	71.5094
3	3	73	71.4817
3	3	74	71.4039
3	3	75	71.3803
3	3	76	71.3483
3	3	77	71.3637
3	3	78	71.3184
3	3	79	71.32
3	3	80	71.3162
3	3	81	71.3087
3	3	82	71.2978
3	3	83	71.2924
3	3	84	71.2897
3	3	85	71.2863
3	3	86	71.2829
3	3	87	71.2809
3	3	88	71.2792
3	3	89	71.3233
3	3	90	71.3054
3	3	91	71.2962
3	3	92	71.2876
3	3	93	71.2789
3	3	94	71.2703
3	3	95	71.3085
3	3	96	71.2853
3	3	97	71.2706
3	3	98	71.3051
3	3	99	71.2801
3	3	100	71.2633
3	3	101	71.2969
3	3	102	71.2706
3	3	103	71.3014
3	3	104	71.2728
3	3	105	71.3021
3	3	106	71.2737
3	3	107	71.3022
3	3	108	71.2739
3	3	109	71.3017
3	3	110	71.3219
3	3	111	71.2902
3	3	112	71.3156
3	3	113	71.2872
3	3	114	71.3139
3	3	115	71.2865
4	3	116	69.6975
4	3	117	69.5092
4	3	118	69.3558
4	3	119	69.2246
4	3	120	69.2464
4	3	121	69.1288
4	3	122	69.1653
4	3	123	69.0585
4	3	124	69.0808
4	3	125	69.0812
5	3	126	68.2069
5	3	127	68.1701
5	3	128	68.1247
5	3	129	68.073
5	3	130	68.0213
5	3	131	67.9752
5	3	132	67.932
5	3	133	67.8916
5	3	134	67.8518
5	3	135	67.8141
5	3	136	67.7805
5	3	137	67.7495
5	3	138	67.7209
5	3	139	67.6933
5	3	140	67.6659
5	3	141	68.1537
5	3	142	67.7268
5	3	143	67.6791
5	3	144	68.1567
5	3	145	67.7373
5	3	146	67.6919
5	3	147	67.664
5	3	148	68.1357
5	3	149	67.7206
5	3	150	67.6771
5	3	151	68.1435
5	3	152	67.7308
5	3	153	67.6876
5	3	154	68.1507
5	3	155	67.7391
5	3	156	68.2001
5	3	157	67.7897
5	3	158	68.2497
5	3	159	67.8413
5	3	160	67.7858
5	3	161	68.2422
5	3	162	67.8355
5	3	163	68.2917
5	3	164	67.8842
5	3	165	68.3401
5	3	166	67.9319
5	3	167	68.3877
5	3	168	67.9794
5	3	169	67.9214
5	3	170	68.3747
5	3	171	67.9666
5	3	172	67.9161
5	3	173	68.3691
5	3	174	67.9606
5	3	175	68.4145
